Category,Disease,Ranked_lifestyles
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,"Time spent outdoors in winter, Days/week of vigorous physical activity, Mobile use vs 2yrs: No, Insomnia: Usually, Time spent driving, Duration of walks, Tea intake, Hair colour: Light brown, Non-oily fish: 1/week, Days/week of walk 10+ mins, Stair climbing: 6-10 times, Beef: 1/week, Walking pace: Steady/average, Skin colour: Fair, Sleep duration, Fresh fruit intake, Pork: <1/week, Salt added: Never/rarely, Time spent outdoors in summer, Processed meat: <1/week, Non-oily fish: 2-4/week, Time spent watching TV, Insomnia: Sometimes, Sun protection: Most times, Mobile freq: 5-29 mins"
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,"Time spent outdoors in summer, Cereal intake, Time spent watching TV, Past smoking: Most/all days, Oily fish: <1/week, Smoking: Never, Walking pace: Brisk, Processed meat: 1/week, Daytime nap: Sometimes, Daytime dozing: Never/rarely, Alcohol: Daily, Age first had sexual intercourse, Daytime nap: Never/rarely, Fresh fruit intake, Hot drink temp: Hot, Time spent driving, Coffee intake, Alcohol: 1-2/week, Drive faster than limit: Never/rarely, Hair colour: Dark brown, Days/week of walk 10+ mins, Water intake, Days/week of vigorous physical activity, Sun protection: Most times, Cheese: 1/week"
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,"Time spent using computer, Insomnia: Usually, Lamb/mutton: <1/week, Time spent outdoors in summer, Skin colour: Fair, Mobile hand: Left, Pork: 1/week, Days/week of walk 10+ mins, Processed meat: <1/week, Time spent outdoors in winter, Hair colour: Light brown, Tea intake, Sleep duration, Non-oily fish: 1/week, Cheese: 1/week, Cereal intake, Insomnia: Never/rarely, Mobile freq: 30-59 mins, Milk: Semi-skimmed, Pork: <1/week, Bread intake, Bread: Wholemeal, Facial ageing: Younger than you are, Cooked vegetable intake, Time spent driving"
Cancers,Primary_Malignancy_Breast,"Time spent outdoors in winter, Time spent using computer, Time spent watching TV, Mobile use: More than eight years, Tea intake, Time spent outdoors in summer, Lamb/mutton: <1/week, Days/week of walk 10+ mins, Coffee intake, Ever smoked: No, Salt added: Never/rarely, Fresh fruit intake, Days/week of vigorous physical activity, Sleep duration, Bread intake, Cereal intake, Past smoking: Most/all days, Days/week of moderate physical activity, Hair colour: Dark brown, Bread: Wholemeal, Mobile freq: 5-29 mins, Mobile use: Two to four years, Hands-free use: Never or almost never, Cooked vegetable intake, Snoring: Yes"
Cancers,Primary_Malignancy_Lung_and_trachea,"Smoking: Never, Days/week of moderate physical activity, Bread intake, Bread: Wholemeal, Past smoking: Never, Days/week of vigorous physical activity, Poultry: 2-4/week, Past smoking: Occasional, Ever smoked: No, Walking pace: Brisk, Alcohol vs 10yrs ago: Less now, Chronotype: More morning, Time spent watching TV, Hands-free use: Never or almost never, Past smoking: Tried once/twice, Facial ageing: Younger than you are, Smokers in household: No, Alcohol vs 10yrs ago: About the same, Salt added: Never/rarely, Mother: High blood pressure, Tea intake, Smoking: Current, Cheese: 2-4/week, Beef: <1/week, Salt added: Sometimes"
Cancers,Primary_Malignancy_Other_Skin_and_subcutaneous_tissue,"Cereal intake, Time spent outdoors in summer, Mother: High blood pressure, Alcohol: Special occasions, Days/week of vigorous physical activity, Ethnicity, Diet change: No, Time spent outdoors in winter, Water intake, Get up: Very easy, Beef: 1/week, Days/week of walk 10+ mins, Skin colour: Fair, Skin colour: Light olive, Diet variation: Sometimes, Sun protection: Most times, Age first had sexual intercourse, Pork: 1/week, Beef: <1/week, Pork: Never, Sun protection: Rarely, Cooked vegetable intake, Alcohol: Daily, Insomnia: Sometimes, Sun protection: Always"
Cancers,Primary_Malignancy_Prostate_filtered,"Time spent watching TV, Coffee intake, Cooked vegetable intake, Bread: White, Oily fish: 1/week, Processed meat: 2-4/week, Days/week of vigorous physical activity, Pork: 1/week, Snoring: No, Insomnia: Usually, Bread: Wholemeal, Cereal intake, Mobile use: Five to eight years, Insomnia: Never/rarely, Raw vegetable intake, Oily fish: <1/week, Past smoking: Never, Fresh fruit intake, Daytime dozing: Never/rarely, Days/week of walk 10+ mins, Ever smoked: No, Time spent outdoors in summer, Days/week of moderate physical activity, Hair colour: Dark brown, Drive faster: Sometimes"
Cancers,Primary_Malignancy_colorectal_and_anus,"Poultry: 2-4/week, Poultry: 1/week, Get up: Very easy, Time spent driving, Days/week of walk 10+ mins, Water intake, Duration of walks, Mobile hand: Right, Sleep duration, Hair colour: Dark brown, Dried fruit intake, Cooked vegetable intake, Oily fish: <1/week, Days/week of vigorous physical activity, Daytime nap: Sometimes, Age first had sexual intercourse, Bread intake, Non-oily fish: <1/week, Time spent outdoors in summer, Skin tanning: Get moderately tanned, Alcohol vs 10yrs ago: Less now, Non-oily fish: 1/week, Days/week of moderate physical activity, Pork: <1/week, Cereal intake"
Cancers,Secondary_Malignancy_Bone,"Time spent watching TV, Smoking: Never, Days/week of vigorous physical activity, Ever smoked: No, Water intake, Time spent outdoors in summer, Mobile use vs 2yrs: More now, Days/week of moderate physical activity, Pork: <1/week, Coffee intake, Days/week of walk 10+ mins, Tea intake, Past smoking: Never, Time spent driving, Time spent outdoors in winter, Get up: Fairly easy, Diet variation: Sometimes, Father: Heart disease, Mobile use: More than eight years, Alcohol vs 10yrs ago: About the same, Ever smoked: Yes, Raw vegetable intake, Alcohol vs 10yrs ago: Less now, Diet change: Yes (other), Walking pace: Brisk"
Cancers,Secondary_Malignancy_Lung,"Dried fruit intake, Insomnia: Sometimes, Smoking: Never, Drive faster than limit: Never/rarely, Daytime nap: Never/rarely, Facial ageing: Younger than you are, Bread: Wholemeal, Days/week of moderate physical activity, Walking pace: Steady/average, Snoring: Yes, Water intake, Father: Heart disease, Time spent using computer, Days/week of vigorous physical activity, Daytime nap: Sometimes, Mobile use vs 2yrs: No, Hot drink temp: Hot, Insomnia: Never/rarely, Time spent outdoors in summer, Salt added: Sometimes, Beef: 1/week, Diet change: No, Past smoking: Tried once/twice, Mobile use vs 2yrs: More now, Time spent watching TV"
Cancers,Secondary_Malignancy_Lymph_Nodes,"Time spent outdoors in summer, Time spent watching TV, Days/week of walk 10+ mins, Ever smoked: No, Ever smoked: Yes, Days/week of moderate physical activity, Walking pace: Brisk, Bread intake, Past smoking: Never, Raw vegetable intake, Cereal intake, Time spent using computer, Days/week of vigorous physical activity, Cooked vegetable intake, Skin tanning: Get moderately tanned, Time spent driving, Water intake, Salt added: Never/rarely, Pork: 1/week, Mother: High blood pressure, Walking pace: Steady/average, Hair colour: Dark brown, Smoking: Never, Mobile use vs 2yrs: No, Mobile use: More than eight years"
Cancers,Secondary_Malignancy_Other_organs,"Water intake, Pork: <1/week, Tea intake, Oily fish: <1/week, Past smoking: Most/all days, Bread intake, Mobile use vs 2yrs: No, Days/week of moderate physical activity, Smoking: Never, Coffee intake, Sleep duration, Mother: High blood pressure, Lamb/mutton: <1/week, Oily fish: 1/week, Time spent watching TV, Drive faster: Sometimes, Past smoking: Never, Non-oily fish: <1/week, Alcohol vs 10yrs ago: Less now, Time spent outdoors in summer, Mobile use: Five to eight years, Stair climbing: 6-10 times, Insomnia: Usually, Mobile hand: Left, Days/week of vigorous physical activity"
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,"Sleep duration, Poultry: 2-4/week, Time spent watching TV, Days/week of vigorous physical activity, Time spent using computer, Mobile use: More than eight years, Salt added: Never/rarely, Coffee intake, Water intake, Time spent outdoors in winter, Bread intake, Processed meat: <1/week, Alcohol vs 10yrs ago: Less now, Cereal intake, Fresh fruit intake, Chronotype: More evening, Ethnicity, Time spent outdoors in summer, Diet change: No, Time spent driving, Snoring: Yes, Mobile use: Five to eight years, Ever smoked: Yes, Hair colour: Light brown, Days/week of moderate physical activity"
Cancers,Secondary_malignancy_Liver_and_intrahepatic_bile_duct,"Cereal intake, Smoking: Never, Oily fish: <1/week, Stair climbing: 1-5 times, Time spent outdoors in summer, Alcohol vs 10yrs ago: Less now, Poultry: 2-4/week, Past smoking: Tried once/twice, Daytime dozing: Never/rarely, Time spent outdoors in winter, Father: Heart disease, Hot drink temp: Very hot, Diet variation: Sometimes, Pork: Never, Water intake, Dried fruit intake, Daytime nap: Never/rarely, Bread intake, Fresh fruit intake, Time spent driving, Raw vegetable intake, Days/week of moderate physical activity, Diet change: No, Mother: High blood pressure, Walking pace: Steady/average"
Cardiovascular,Atrial_fibrillation,"Days/week of moderate physical activity, Smoking: Never, Daytime nap: Never/rarely, Time spent driving, Lamb/mutton: <1/week, Insomnia: Usually, Water intake, Mother: Heart disease, Days/week of walk 10+ mins, Cooked vegetable intake, Ethnicity, Time spent using computer, Oily fish: <1/week, Walking pace: Brisk, Beef: <1/week, Alcohol vs 10yrs ago: Less now, Mobile hand: Right, Tea intake, Past smoking: Most/all days, Skin tanning: Get very tanned, Stair climbing: 6-10 times, Bread intake, Diet variation: Never/rarely, Non-oily fish: <1/week, Father: Heart disease"
Cardiovascular,Coronary_heart_disease_not_otherwise_specified,"Father: Heart disease, Tea intake, Mother: Heart disease, Walking pace: Brisk, Diet change: No, Spread: Butter, Days/week of walk 10+ mins, Cheese: 2-4/week, Diet change: Yes (other), Stair climbing: 6-10 times, Cooked vegetable intake, Time spent outdoors in summer, Daytime dozing: Never/rarely, Processed meat: <1/week, Diet change: Yes (illness), Time spent outdoors in winter, Lamb/mutton: <1/week, Smoking: Previous, Walking pace: Slow, Processed meat: 1/week, Bread: White, Mobile hand: Right, Hair colour: Light brown, Past smoking: Most/all days, Walking pace: Steady/average"
Cardiovascular,Heart_failure,"Walking pace: Brisk, Time spent outdoors in winter, Time spent watching TV, Time spent outdoors in summer, Smoking: Never, Beef: <1/week, Alcohol: 1-2/week, Skin tanning: Get moderately tanned, Get up: Fairly easy, Days/week of walk 10+ mins, Mobile use vs 2yrs: More now, Father: Heart disease, Processed meat: <1/week, Bread intake, Stair climbing: 1-5 times, Stair climbing: 6-10 times, Past smoking: Never, Cooked vegetable intake, Processed meat: 2-4/week, Mother: Heart disease, Cereal intake, Coffee intake, Facial ageing: Younger than you are, Insomnia: Usually, Days/week of moderate physical activity"
Cardiovascular,Hypertension,"Mother: High blood pressure, Father: High blood pressure, Walking pace: Brisk, Mother: Heart disease, Father: Heart disease, Diet change: No, Insomnia: Usually, Salt added: Never/rarely, Fresh fruit intake, Father: Stroke, Cheese: <1/week, Smoking: Previous, Cereal intake, Sleep duration, Days/week of vigorous physical activity, Days/week of moderate physical activity, Cereal: Muesli, Diet change: Yes (illness), Raw vegetable intake, Time spent outdoors in summer, Duration of walks, Hair colour: Dark brown, Oily fish: 2-4/week, Time spent watching TV, Salt added: Usually"
Cardiovascular,Ischaemic_stroke,"Hot drink temp: Hot, Days/week of walk 10+ mins, Time spent outdoors in winter, Walking pace: Brisk, Diet change: No, Bread intake, Spread: Butter, Sun protection: Most times, Father: Heart disease, Milk: Skimmed, Age first had sexual intercourse, Cereal intake, Water intake, Days/week of vigorous physical activity, Alcohol vs 10yrs ago: Less now, Mobile freq: 30-59 mins, Cheese: 2-4/week, Beef: 1/week, Cereal: Bran flakes, Mobile use: More than eight years, Spread: Never, Spread: Other margarine, Snoring: No, Alcohol vs 10yrs ago: About the same, Cooked vegetable intake"
Cardiovascular,Left_bundle_branch_block,"Days/week of moderate physical activity, Alcohol vs 10yrs ago: About the same, Time spent watching TV, Time spent outdoors in summer, Walking pace: Brisk, Ever smoked: No, Walking pace: Steady/average, Smoking: Previous, Raw vegetable intake, Time spent using computer, Past smoking: Never, Ever smoked: Yes, Cereal intake, Duration of walks, Get up: Very easy, Bread: Wholemeal, Sleep duration, Fresh fruit intake, Cooked vegetable intake, Chronotype: More evening, Stair climbing: 1-5 times, Daytime nap: Never/rarely, Spread: Other margarine, Get up: Fairly easy, Alcohol: 3-4/week"
Cardiovascular,Multiple_valve_dz,"Time spent outdoors in summer, Tea intake, Days/week of moderate physical activity, Days/week of walk 10+ mins, Time spent using computer, Hands-free use: Never or almost never, Water intake, Time spent driving, Stair climbing: 6-10 times, Smoking: Never, Sleep duration, Alcohol vs 10yrs ago: About the same, Mobile use: More than eight years, Spread: Butter, Time spent watching TV, Walking pace: Brisk, Lamb/mutton: <1/week, Diet change: No, Mother: High blood pressure, Father: High blood pressure, Cereal: Muesli, Sun protection: Most times, Cereal intake, Mobile use vs 2yrs: More now, Ever smoked: No"
Cardiovascular,Myocardial_infarction,"Time spent outdoors in summer, Tea intake, Alcohol vs 10yrs ago: Less now, Ever smoked: No, Time spent using computer, Age first had sexual intercourse, Time spent watching TV, Beef: <1/week, Mobile use: More than eight years, Bread: Wholemeal, Cereal intake, Days/week of vigorous physical activity, Past smoking: Never, Water intake, Days/week of moderate physical activity, Hair colour: Dark brown, Time spent outdoors in winter, Poultry: 2-4/week, Snoring: Yes, Days/week of walk 10+ mins, Walking pace: Brisk, Smoking: Previous, Skin tanning: Get moderately tanned, Mobile use vs 2yrs: No, Hot drink temp: Hot"
Cardiovascular,Nonrheumatic_aortic_valve_disorders,"Coffee intake, Time spent outdoors in summer, Bread intake, Cereal intake, Days/week of moderate physical activity, Time spent watching TV, Walking pace: Brisk, Insomnia: Sometimes, Duration of walks, Sun protection: Most times, Time spent outdoors in winter, Processed meat: <1/week, Pork: Never, Raw vegetable intake, Ever smoked: No, Days/week of walk 10+ mins, Age first had sexual intercourse, Water intake, Smoking: Previous, Days/week of vigorous physical activity, Diet variation: Sometimes, Oily fish: <1/week, Sleep duration, Snoring: Yes, Mobile use: Five to eight years"
Cardiovascular,Nonrheumatic_mitral_valve_disorders,"Days/week of moderate physical activity, Sun protection: Sometimes, Sleep duration, Mobile hand: Left, Walking pace: Brisk, Days/week of walk 10+ mins, Mobile use: More than eight years, Tea intake, Mother: Stroke, Cereal intake, Age first had sexual intercourse, Past smoking: Never, Time spent outdoors in summer, Duration of walks, Bread: Wholemeal, Water intake, Cheese: 2-4/week, Bread intake, Hair colour: Dark brown, Coffee intake, Diet change: Yes (other), Days/week of vigorous physical activity, Time spent driving, Alcohol: 1-2/week, Poultry: 1/week"
Cardiovascular,Peripheral_arterial_disease,"Walking pace: Brisk, Age first had sexual intercourse, Walking pace: Steady/average, Time spent using computer, Walking pace: Slow, Diet change: No, Past smoking: Occasional, Days/week of vigorous physical activity, Coffee intake, Insomnia: Sometimes, Smoking: Never, Diet change: Yes (illness), Alcohol vs 10yrs ago: More now, Time spent outdoors in summer, Poultry: 2-4/week, Pork: <1/week, Father: Heart disease, Days/week of moderate physical activity, Cereal intake, Drive faster: Sometimes, Cereal: Oat (Porridge), Non-oily fish: 1/week, Past smoking: Never, Ever smoked: No, Tea intake"
Cardiovascular,Primary_pulmonary_hypertension,"Walking pace: Brisk, Time spent outdoors in summer, Facial ageing: Younger than you are, Insomnia: Sometimes, Chronotype: More evening, Poultry: 2-4/week, Mother: High blood pressure, Days/week of moderate physical activity, Salt added: Never/rarely, Duration of walks, Cooked vegetable intake, Mobile use: More than eight years, Coffee intake, Bread intake, Drive faster than limit: Never/rarely, Diet variation: Never/rarely, Bread: Wholemeal, Days/week of walk 10+ mins, Time spent outdoors in winter, Alcohol vs 10yrs ago: Less now, Insomnia: Usually, Milk: Semi-skimmed, Skin colour: Fair, Sleep duration, Days/week of vigorous physical activity"
